Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8253920,"Towers of Midnight (The Wheel of Time, #13)",Robert Jordan,"Jordan, Robert",Brandon Sanderson,"=""0765325942""","=""9780765325945""",5,4.47,Tom Doherty Associates TOR Fantasy,Hardcover,863,2010,2010,2023/02/15,2023/05/16,deep-character-building,deep-character-building (#12),read,,,,1,0
9539,"The Shadow Rising (The Wheel of Time, #4)",Robert Jordan,"Jordan, Robert",,"=""0812513738""","=""9780812513738""",0,4.27,Tom Doherty Tor Fantasy,Mass Market Paperback,1007,1993,1992,2023/02/15,2023/05/16,deep-character-building,deep-character-building (#3),read,,,,1,0
58398956,"CompTIA Network+ Certification All-in-One Exam Guide, Eighth Edition (Exam N10-008) (CompTIA Network + All-In-One Exam Guide)",Scott Jernigan,"Jernigan, Scott",Mike Meyers,"=""1264269056""","=""9781264269051""",4,4.22,McGraw Hill,Hardcover,976,2022,1999,2022/02/15,2024/02/15,education,education (#1),read,,,,1,0
38902252,Nine Things Successful People Do Differently,Heidi Grant Halvorson,"Halvorson, Heidi Grant",,"=""1633694135""","=""9781633694132""",4,3.86,Harvard Business Review Press,Paperback,112,2017,,2023/02/18,2024/02/15,,,read,,,,1,0
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0756404738""","=""9780756404734""",4,4.55,DAW Books,Hardcover,994,2011,2011,2024/02/14,2023/06/04,,,read,,,,1,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",4,4.52,Penguin Group DAW,Hardcover,662,2007,2007,2024/02/14,2023/05/16,,,read,,,,1,0
256683,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,"Clare, Cassandra",,"=""1416914285""","=""9781416914280""",2,4.07,Margaret K. McElderry Books,Hardcover,485,2007,2007,2024/02/14,2023/05/16,,,read,,,,1,0
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316889""","=""9780765316882""",4,4.38,Tor Books,Hardcover,578,2007,2007,2024/02/14,2023/05/16,,,read,,,,1,0
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,"=""0812511816""","=""9780812511819""",0,4.19,Tor Books,Mass Market Paperback,800,1990,1990,2024/02/14,2023/05/16,deep-character-building,deep-character-building (#1),read,,,,1,0
1166599,"The Gathering Storm (The Wheel of Time, #12)",Robert Jordan,"Jordan, Robert",Brandon Sanderson,"=""0765302306""","=""9780765302304""",5,4.42,Tor Books,Hardcover,824,2009,2009,2024/02/14,2023/05/16,deep-character-building,deep-character-building (#11),read,,,,1,0
43889,"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,"Goodkind, Terry",,"=""0765346524""","=""9780765346520""",5,4.12,Tor Books,Mass Market Paperback,836,2003,1994,2024/02/14,2023/06/04,,,read,,,,1,0
140974,"The Path of Daggers (The Wheel of Time, #8)",Robert Jordan,"Jordan, Robert",,"=""0812550293""","=""9780812550290""",0,3.93,Tor Books,Mass Market Paperback,685,1999,1998,2024/02/14,2023/05/16,deep-character-building,deep-character-building (#7),read,,,,1,0
13888,"Knife of Dreams (The Wheel of Time, #11)",Robert Jordan,"Jordan, Robert",,"=""0812577566""","=""9780812577563""",5,4.19,Tom Doherty Associates,Mass Market Paperback,860,2006,2005,2024/02/14,2023/05/16,deep-character-building,deep-character-building (#10),read,,,,1,0
35231,"Lord of Chaos (The Wheel of Time, #6)",Robert Jordan,"Jordan, Robert",,"=""0812513754""","=""9780812513752""",0,4.18,Tom Doherty Associates,Mass Market Paperback,1011,1995,1994,2024/02/14,2023/05/16,deep-character-building,deep-character-building (#5),read,,,,1,0
13891,"Winter's Heart (The Wheel of Time, #9)",Robert Jordan,"Jordan, Robert",,"=""081257558X""","=""9780812575583""",5,3.97,Tor Fantasy,Mass Market Paperback,780,2002,2000,2024/02/14,2023/05/16,deep-character-building,deep-character-building (#8),read,,,,1,0
13890,"A Crown of Swords (The Wheel of Time, #7)",Robert Jordan,"Jordan, Robert",,"=""0812550285""","=""9780812550283""",0,4.06,Tor Books,Mass Market Paperback,880,1997,1996,2024/02/14,2023/05/16,deep-character-building,deep-character-building (#6),read,,,,1,0
34897,The Dragon Reborn (The Wheel of Time #3),Robert Jordan,"Jordan, Robert",,"=""0765305119""","=""9780765305114""",0,4.27,Tor Fantasy,Mass Market Paperback,624,2002,1991,2024/02/14,2023/05/16,deep-character-building,deep-character-building (#2),read,,,,1,0
13895,"The Fires of Heaven (The Wheel of Time, #5)",Robert Jordan,"Jordan, Robert",,"=""1857232097""","=""9781857232097""",0,4.19,Orbit,Paperback,912,1994,1993,2024/02/14,2023/05/16,deep-character-building,deep-character-building (#4),read,,,,1,0
13642,"A Wizard of Earthsea (Earthsea Cycle, #1)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0553383043""","=""9780553383041""",0,4.01,,Paperback,183,2004,1968,2024/02/14,2023/06/04,to-read,to-read (#4),to-read,,,,1,0
113435,"Crossroads of Twilight (The Wheel of Time, #10)",Robert Jordan,"Jordan, Robert",,"=""0312864590""","=""9780312864590""",5,3.79,Tor Fantasy,Hardcover,704,2003,2003,2024/02/14,2023/05/16,deep-character-building,deep-character-building (#9),read,,,,1,0
77197,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,"Hobb, Robin",,"=""055357339X""","=""9780553573398""",0,4.18,Spectra Books,Mass Market Paperback,435,1996,1995,2024/02/14,2023/06/04,to-read,to-read (#3),to-read,,,,1,0
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""9780765311788""",4,4.48,Tor Books,Hardcover,537,2006,2006,2024/02/14,2023/05/16,,,read,,,,1,0
